Etapa,Item,Ordem_etapa,Ordem_item,Ativo
Inicial,,1,1,True
Inicial,Cliente Cadastrado,1,2,True
Inicial,Usuário criado,1,3,True
Inicial,Boas-vindas enviadas,1,4,True
Inicial,Reunião agendada,1,5,True
Cadastro,,2,1,True
Cadastro,Clínica cadastrada,2,2,True
Cadastro,Profissionais cadastrados,2,3,True
Cadastro,Serviços configurados,2,4,True
Cadastro,Agenda configurada,2,5,True
Cadastro,Financeiro configurado,2,6,True
Importação de Base,,3,1,True
Importação de Base,Base recebida,3,2,True
Importação de Base,Base validada,3,3,True
Importação de Base,Importação realizada,3,4,True
Importação de Base,Validação com cliente,3,5,True
Treinamento,,4,1,True
Treinamento,Treinamento agenda,4,2,True
Treinamento,Treinamento pacientes,4,3,True
Treinamento,Treinamento financeiro,4,4,True
Treinamento,Dúvidas resolvidas,4,5,True
Go-Live,,5,1,True
Go-Live,Data de virada definida,5,2,True
Go-Live,Sistema liberado para uso oficial,5,3,True
Go-Live,Equipe alinhada,5,4,True
Go-Live,Primeiro dia de operação realizado,5,5,True
Acompanhamento,,6,1,True
Acompanhamento,Cliente utilizando sistema no dia a dia,6,2,True
Acompanhamento,Ajustes realizados,6,3,True
Acompanhamento,Fluxo validado,6,4,True
Acompanhamento,Cliente operando com autonomia,6,5,True
Acompanhamento,Feedback coletado,6,6,True
Acompanhamento,Implantação finalizada,6,7,True
